place,link,rating,city,category,fee,alamat,deskripsi
Meriam Sriwedari,https://www.google.com/maps/place/Meriam+Sriwedari/data=!4m7!3m6!1s0x2e7a168752a21509:0xe3de348ab99f4fd2!8m2!3d-7.5678364!4d110.8136874!16s%2Fg%2F11c18x9fly!19sChIJCRWiUocWei4R0k-fuYo03uM?authuser=0&hl=id&rclk=1,"4,40",Solo,Sejarah,7000,"Slamet Riyadi St No.290, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",Meriam Sriwedari
Taman Sunan Jogo Kali,https://www.google.com/maps/place/Taman+Sunan+Jogo+Kali/data=!4m7!3m6!1s0x2e7a17588fb4fa5d:0x4250b1b5bbe6f63e!8m2!3d-7.5700332!4d110.8581769!16s%2Fg%2F11rmp0vy_h!19sChIJXfq0j1gXei4RPvbmu7WxUEI?authuser=0&hl=id&rclk=1,"4,70",Solo,Alam,0,"CVJ5+26C, Pucangsawit, Jebres, Surakarta City, Central Java 57125, Indonesia",Taman Sunan Jogo Kali
Taman Cerdas Kelurahan Jebres,https://www.google.com/maps/place/Taman+Cerdas+Kelurahan+Jebres/data=!4m7!3m6!1s0x2e7a16e400000001:0x1c2bec45a65c17af!8m2!3d-7.5540309!4d110.8534205!16s%2Fg%2F11b7hw5r34!19sChIJAQAAAOQWei4RrxdcpkXsKxw?authuser=0&hl=id&rclk=1,"4,50",Solo,Taman Edukasi,0,"Jl. Ki Hajar Dewantara RT02 RW25, Jebres, Jl. Surya I Tengah No.25, RT.03/RW.25, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia",Taman Cerdas Kecamatan Jebres
The Heritage Palace,https://www.google.com/maps/place/The+Heritage+Palace/data=!4m7!3m6!1s0x2e7a1598381d4625:0xe517f6b0abbdd457!8m2!3d-7.5547597!4d110.7548203!16s%2Fg%2F11f664fjxw!19sChIJJUYdOJgVei4RV9S9q7D2F-U?authuser=0&hl=id&rclk=1,"4,40",Solo,Sejarah,30000,"jalan Permata Raya Dukuh Tegal Mulyo rt.002/rw.008, Honggobayan, Pabelan, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169, Indonesia",The Heritage Palace
House Of Danar Hadi,https://www.google.com/maps/place/House+Of+Danar+Hadi/data=!4m7!3m6!1s0x2e7a167d816475d3:0x1916e960e97ad4de!8m2!3d-7.5687936!4d110.8163394!16s%2Fg%2F155pj7z2!19sChIJ03VkgX0Wei4R3tR66WDpFhk?authuser=0&hl=id&rclk=1,"4,70",Solo,Sejarah,35000,"Slamet Riyadi St No.261, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",House of Danar Hadi
Tumurun Private Museum,https://www.google.com/maps/place/Tumurun+Private+Museum/data=!4m7!3m6!1s0x2e7a167da9e8e09d:0x73560f69e755eb4a!8m2!3d-7.5704065!4d110.8163901!16s%2Fg%2F11hcx84299!19sChIJneDoqX0Wei4RSutV52kPVnM?authuser=0&hl=id&rclk=1,"4,80",Solo,"Edukasi, Anak",25000,"Jl. Kebangkitan Nasional No.2, RW.4, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141, Indonesia",Tumurun Private Museum
Taman Wisata Sendang Plesungan,https://www.google.com/maps/place/Taman+Wisata+Sendang+Plesungan/data=!4m7!3m6!1s0x2e7a112b461b856b:0x53d3ba524c677756!8m2!3d-7.5231465!4d110.849922!16s%2Fg%2F11cp7fyzsr!19sChIJa4UbRisRei4RVndnTFK601M?authuser=0&hl=id&rclk=1,"4,10",Solo,Alam,10000,"Jl. Mayor Achmadi No.8, Samirukun, Plesungan, Kec. Gondangrejo, Kabupaten Karanganyar, Jawa Tengah 57181, Indonesia",Taman Plesungan Indah
Museum Keris Nusantara,https://www.google.com/maps/place/Museum+Keris+Nusantara/data=!4m7!3m6!1s0x2e7a167e29505d91:0x9129ae0450226c4f!8m2!3d-7.5690312!4d110.8108078!16s%2Fg%2F11b6v3xhnb!19sChIJkV1QKX4Wei4RT2wiUASuKZE?authuser=0&hl=id&rclk=1,"4,70",Solo,"Edukasi, Anak",6000,"Jl. Bhayangkara No.2, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141, Indonesia",Museum Keris Nusantara
Vihara Dhamma Sundara,https://www.google.com/maps/place/Vihara+Dhamma+Sundara/data=!4m7!3m6!1s0x2e7a16582f12c515:0x16fa374ebaeeeecd!8m2!3d-7.5698423!4d110.8487998!16s%2Fg%2F1pzprc7w5!19sChIJFcUSL1gWei4Rze7uuk43-hY?authuser=0&hl=id&rclk=1,"4,60",Solo,Religi,0,"Jl. Ir. Juanda No.223B, Pucangsawit, Kec. Jebres, Kota Surakarta, Jawa Tengah 57128, Indonesia",Vihara Dhamma Sundara
Pasar Malam Ngarsopuro,https://www.google.com/maps/place/Pasar+Malam+Ngarsopuro/data=!4m7!3m6!1s0x2e7a166287cccb57:0xbba4b465bfa08dcc!8m2!3d-7.56875!4d110.8223017!16s%2Fg%2F11bxdv6skz!19sChIJV8vMh2IWei4RzI2gv2W0pLs?authuser=0&hl=id&rclk=1,"4,50",Solo,Kuliner,0,"Jl. Diponegoro, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Ngarsopuro Night Market
Taman Urban Forest Bengawan Solo,https://www.google.com/maps/place/Taman+Urban+Forest+Bengawan+Solo/data=!4m7!3m6!1s0x2e7a1656cc85cc3f:0x58e86cbb07511b27!8m2!3d-7.5718472!4d110.8474327!16s%2Fg%2F11bt_hqm0v!19sChIJP8yFzFYWei4RJxtRB7ts6Fg?authuser=0&hl=id&rclk=1,"4,10",Solo,Alam,60000,"Pucangsawit, Jebres, Surakarta City, Central Java 57125, Indonesia",Taman Urban Forest Bengawan Solo
Taman Bendungan Tirtonadi,https://www.google.com/maps/place/Taman+Bendungan+Tirtonadi/data=!4m7!3m6!1s0x2e7a176b21b6c36b:0x316d8d7b31ff6733!8m2!3d-7.5509893!4d110.821193!16s%2Fg%2F11smnbrrkc!19sChIJa8O2IWsXei4RM2f_MXuNbTE?authuser=0&hl=id&rclk=1,"4,60",Solo,Alam,0,"Jl. Popda No.9, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135, Indonesia",Tirtonadi Dam Park
Taman Kampung Wisata Batik Kauman,https://www.google.com/maps/place/Taman+Kampung+Wisata+Batik+Kauman/data=!4m7!3m6!1s0x2e7a1703cec51335:0x2ba95d7c58edae2b!8m2!3d-7.5732676!4d110.8252541!16s%2Fg%2F11s24129vw!19sChIJNRPFzgMXei4RK67tWHxdqSs?authuser=0&hl=id&rclk=1,"4,90",Solo,Budaya,5000,"Jl. Wijaya Kusuma, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57112, Indonesia",Taman Kampung Wisata Batik Kauman
Alun-Alun Lor Surakarta,https://www.google.com/maps/place/Alun-Alun+Lor+Surakarta/data=!4m7!3m6!1s0x2e7a16671d06d261:0xf6cbe1ea686e97a8!8m2!3d-7.5746632!4d110.8287796!16s%2Fg%2F1hm382q08!19sChIJYdIGHWcWei4RqJduaOrhy_Y?authuser=0&hl=id&rclk=1,"4,40",Solo,Taman,35000,"CRGH+4GJ, Jl. Alun Alun Utara, Kedung Lumbu, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133, Indonesia",Alun-Alun Lor Surakarta
Taman Balai Kota Solo,https://www.google.com/maps/place/Taman+Balai+Kota+Solo/data=!4m7!3m6!1s0x2e7a17ac060c64ff:0xabc5605c9f9bff2c!8m2!3d-7.5694639!4d110.8298464!16s%2Fg%2F11f7pv5f5b!19sChIJ_2QMBqwXei4RLP-bn1xgxas?authuser=0&hl=id&rclk=1,"4,70",Solo,Taman,5000,"CRJH+6W9, Kampung Baru, Pasar Kliwon, Surakarta City, Central Java 57133, Indonesia",Taman Balai Kota Solo
Alun Alun Kidul Surakarta,https://www.google.com/maps/place/Alun+Alun+Kidul+Surakarta/data=!4m7!3m6!1s0x2e7a16694676a81b:0xcd8a3fb649fdf9f0!8m2!3d-7.5821946!4d110.8264209!16s%2Fg%2F11btxkt1np!19sChIJG6h2RmkWei4R8Pn9SbY_is0?authuser=0&hl=id&rclk=1,"4,50",Solo,Taman,0,"alun alun kidul, Pasar Kliwon, Surakarta City, Central Java 57118, Indonesia",Alun Alun Kidul Surakarta
Museum Radya Pustaka,https://www.google.com/maps/place/Museum+Radya+Pustaka/data=!4m7!3m6!1s0x2e7a167df7d7ef85:0xef8dc6d8163ff9c0!8m2!3d-7.568441!4d110.814454!16s%2Fm%2F0vshg51!19sChIJhe_X930Wei4RwPk_FtjGje8?authuser=0&hl=id&rclk=1,"4,60",Solo,"Edukasi, Anak",10000,"Slamet Riyadi St No.275, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",Museum Radya Pustaka
Monumen Pers Nasional,https://www.google.com/maps/place/Monumen+Pers+Nasional/data=!4m7!3m6!1s0x2e7a16860637f699:0x80c7a683b501e914!8m2!3d-7.565059!4d110.818131!16s%2Fm%2F0zn2qr7!19sChIJmfY3BoYWei4RFOkBtYOmx4A?authuser=0&hl=id&rclk=1,"4,60",Solo,Sejarah,0,"Jl. Gajahmada No.59, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132, Indonesia",Monumen Pers Nasional
Gua Maria Mojosongo,https://www.google.com/maps/place/Gua+Maria+Mojosongo/data=!4m7!3m6!1s0x2e7a16c264f785d1:0xcdec539f4a4e17af!8m2!3d-7.5460771!4d110.8398445!16s%2Fg%2F11b6_7_ykh!19sChIJ0YX3ZMIWei4RrxdOSp9T7M0?authuser=0&hl=id&rclk=1,"4,90",Solo,Religi,10000,"Kampung, Jl. Debegan, RT.4/RW.5, Mojosongo, Kec. Jebres, Kota Surakarta, Jawa Tengah 57127, Indonesia",Gua Maria Mojosongo (Saint Mary's Grotto - Mojosongo)
Monumen Slamet Riyadi,https://www.google.com/maps/place/Monumen+Slamet+Riyadi/data=!4m7!3m6!1s0x2e7a16804eebdbf1:0xfa51864a038c24f3!8m2!3d-7.5724401!4d110.8292446!16s%2Fg%2F1hm33p2t5!19sChIJ8dvrToAWei4R8ySMA0qGUfo?authuser=0&hl=id&rclk=1,"4,60",Solo,Sejarah,0,"Kampung Baru, Pasar Kliwon, Surakarta City, Central Java, Indonesia",Slamet Riyadi Statue
Bank Indonesia Museum,https://www.google.com/maps/place/Bank+Indonesia+Museum/data=!4m7!3m6!1s0x2e7a1660f5a3a5a9:0xa7791e3fb7bd3360!8m2!3d-7.5703961!4d110.8297308!16s%2Fg%2F11c0rnm0l8!19sChIJqaWj9WAWei4RYDO9tz8eeac?authuser=0&hl=id&rclk=1,"4,70",Solo,Sejarah,5000,,
Agrowisata Sondokoro,https://www.google.com/maps/place/Agrowisata+Sondokoro/data=!4m7!3m6!1s0x2e7a1686d8bf8601:0x561df3197fb39427!8m2!3d-7.5762967!4d110.9315588!16s%2Fg%2F1hm49z20g!19sChIJAYa_2IYWei4RJ5SzfxnzHVY?authuser=0&hl=id&rclk=1,"4,10",Solo,Alam,20000,"CWFJ+FJM, Jl. Mangkunegara Bojonegara, Nglande Wetan, Ngijo, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 42454, Indonesia",Sondokoro Agrotourism
Taman Lansia Jebres,https://www.google.com/maps/place/Taman+Lansia+Jebres/data=!4m7!3m6!1s0x2e7a177c2c290909:0xbb0aa1a4cbdae46!8m2!3d-7.5568622!4d110.860724!16s%2Fg%2F11mnkkwc9g!19sChIJCQkpLHwXei4RRq69TBqqsAs?authuser=0&hl=id&rclk=1,"4,60",Solo,Taman,0,"Jl. Antariksa No.69, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia",Taman Lansia Jebres
Masjid Agung Kraton Surakarta,https://www.google.com/maps/place/Masjid+Agung+Kraton+Surakarta/data=!4m7!3m6!1s0x2e7a1666e583dc5b:0x1622ef3324797136!8m2!3d-7.5744033!4d110.8265936!16s%2Fg%2F11h1sqvq8!19sChIJW9yD5WYWei4RNnF5JDPvIhY?authuser=0&hl=id&rclk=1,"4,80",Solo,Religi,0,"Jl. Masjid Agung No.1, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57122, Indonesia",Masjid Agung Keraton Surakarta
Royal Water Adventure,https://www.google.com/maps/place/Royal+Water+Adventure/data=!4m7!3m6!1s0x2e7a3dc19e5fd2d1:0xdc7700a8d3186b24!8m2!3d-7.6317226!4d110.8264961!16s%2Fg%2F11bw2glw83!19sChIJ0dJfnsE9ei4RJGsY06gAd9w?authuser=0&hl=id&rclk=1,"3,90",Solo,"Air, Wahana, Anak",30000,"Jl. Raya Telukan No.KM 08, Dusun III, Telukan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552, Indonesia",Royal Water Adventure
Taman Patung Kuda Manahan,https://www.google.com/maps/place/Taman+Patung+Kuda+Manahan/data=!4m7!3m6!1s0x2e7a169d3fde3c99:0x99a7a9bbc386535f!8m2!3d-7.5571741!4d110.8092329!16s%2Fg%2F11b73qddr3!19sChIJmTzeP50Wei4RX1OGw7upp5k?authuser=0&hl=id&rclk=1,"4,20",Solo,Alam,0,"CRV5+4MQ, Jl. MT Haryono, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Horse Sculpture Park Manahan
Patung Pandawa Lima,https://www.google.com/maps/place/Patung+Pandawa+Lima/data=!4m7!3m6!1s0x2e7a1601c8d89bb7:0x7bcd4fcb06722de8!8m2!3d-7.608573!4d110.811196!16s%2Fg%2F11c0qgnvqc!19sChIJt5vYyAEWei4R6C1yBstPzXs?authuser=0&hl=id&rclk=1,"4,40",Solo,Alam,0,"9RR6+HFG, Dusun III, Langenharjo, Grogol, Sukoharjo Regency, Central Java 57552, Indonesia",Patung Pandawa Lima
Lapangan Kartopuran,https://www.google.com/maps/place/Lapangan+Kartopuran/data=!4m7!3m6!1s0x2e7a167b13ec5491:0xa394378b7f5e0044!8m2!3d-7.5749959!4d110.8176079!16s%2Fg%2F11cn13rj66!19sChIJkVTsE3sWei4RRABef4s3lKM?authuser=0&hl=id&rclk=1,"4,40",Solo,Taman,0,"CRG9+225, Jl. Kartopuran, Jayengan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57152, Indonesia",Lapangan Kartopuran
Objek Wisata Waduk Cengklik,https://www.google.com/maps/place/Objek+Wisata+Waduk+Cengklik/data=!4m7!3m6!1s0x2e7a138bc070a07b:0x8713b6667119ee7e!8m2!3d-7.5172359!4d110.7305018!16s%2Fg%2F11rg9j01h1!19sChIJe6BwwIsTei4Rfu4ZcWa2E4c?authuser=0&hl=id&rclk=1,"4,50",Solo,Alam,5000,"Gunungparan, Ngargorejo, Ngemplak, Boyolali Regency, Central Java 57375, Indonesia",Cengklik Reservoir Recreational Path Roads
Waduk Cengklik Park,https://www.google.com/maps/place/Waduk+Cengklik+Park/data=!4m7!3m6!1s0x2e7a130c0b38a8a1:0x1f553f46bd7c8428!8m2!3d-7.5177626!4d110.7258357!16s%2Fg%2F11fr986y2j!19sChIJoag4CwwTei4RKIR8vUY_VR8?authuser=0&hl=id&rclk=1,"4,40",Solo,Alam,25000,"Gunungparan, Ngargorejo, Ngemplak, Boyolali Regency, Central Java 57375, Indonesia",Waduk Cengklik Park
Pabrik Gula Colomadu (De Tjolomadoe),https://www.google.com/maps/place/Pabrik+Gula+Colomadu/data=!4m7!3m6!1s0x2e7a149d3662c8ff:0x2d26c2ac49fb41a!8m2!3d-7.5337952!4d110.7501392!16s%2Fg%2F11gh2wn300!19sChIJ_8hiNp0Uei4RGrSfxCps0gI?authuser=0&hl=id&rclk=1,"4,60",Solo,Sejarah,40000,"Jl. Adi Sucipto No.2-12, Paulan Wetan, Malangjiwan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57177, Indonesia",Pabrik Gula Colomadu
Pandawa Water World,https://www.google.com/maps/place/Air+Mancur+Pandawa/data=!4m7!3m6!1s0x2e7a1601c8db49a5:0xf23a61d55686500f!8m2!3d-7.608589!4d110.811192!16s%2Fg%2F1pzqp00jn!19sChIJpUnbyAEWei4RD1CGVtVhOvI?authuser=0&hl=id&rclk=1,"4,70",Solo,Alam,100000,"9RR6+HF8, JL. Raya Solo Permai - Solo Baru , Madegondo, Sukoharjo , Jawa, Tengah, Langenharjo, Grogol, Dusun III, Langenharjo, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552, Indonesia",Air Mancur Pandawa
Tugu Cembengan,https://www.google.com/maps/place/Tugu+Cembengan/data=!4m7!3m6!1s0x2e7a16fb3e64483d:0x2c1a2f2f9ec8c4b3!8m2!3d-7.5577858!4d110.8475671!16s%2Fg%2F11c2m_cxrg!19sChIJPUhkPvsWei4Rs8TIni8vGiw?authuser=0&hl=id&rclk=1,"4,50",Solo,Sejarah,0,"Jl. Kolonel Sutarto No.108, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126, Indonesia",Cembengan Monument
Gedung Djoeang 45,https://www.google.com/maps/place/Gedung+Djoeang+45/data=!4m7!3m6!1s0x2e7a178f4819c773:0x6788641c279a6877!8m2!3d-7.5737486!4d110.8321967!16s%2Fg%2F11s5yxdxdc!19sChIJc8cZSI8Xei4Rd2iaJxxkiGc?authuser=0&hl=id&rclk=1,"4,60",Solo,Sejarah,50000,"CRGJ+GV4, Kedung Lumbu, Pasar Kliwon, Surakarta City, Central Java, Indonesia",Gedung Djoeang 45
Kebun Raya Bogor,https://www.google.com/maps/place/Kebun+Raya+Bogor/data=!4m7!3m6!1s0x2e69c5c412a67abb:0x75f23c6b45a37ee5!8m2!3d-6.5976289!4d106.7995698!16zL20vMDk1cmQ4!19sChIJu3qmEsTFaS4R5X6jRWs88nU?authuser=0&hl=id&rclk=1,"4,70",Bogor,Alam,25500,"Jl. Ir. H. Juanda No.13, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122, Indonesia",Bogor Botanical Gardens
Kuntum Farmfield,https://www.google.com/maps/place/Kuntum+Farmfield/data=!4m7!3m6!1s0x2e69c8afbcd991af:0xaa9e0764f8512c63!8m2!3d-6.6416247!4d106.839718!16s%2Fg%2F1hc1l8fdc!19sChIJr5HZvK_IaS4RYyxR-GQHnqo?authuser=0&hl=id&rclk=1,"4,50",Bogor,Alam,80000,"Komplek, Jl. Teras Hijau Residence Jl. Raya Tajur No.291, RT.01/RW.01, Sindangrasa, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16145, Indonesia",Kuntum Farmfield dan Nurseries
The Jungle Waterpark Bogor,https://www.google.com/maps/place/The+Jungle+Waterpark+Bogor/data=!4m7!3m6!1s0x2e69cf5deba619f3:0x485a13f031e8b904!8m2!3d-6.6344794!4d106.7949215!16s%2Fg%2F1ptxr7qkm!19sChIJ8xmm613PaS4RBLnoMfATWkg?authuser=0&hl=id&rclk=1,"4,50",Bogor,"Air, Wahana, Anak",85000,"Perumahan, Jl. Bogor Nirwana Residence Jalan Bogor Nirwana Boulevard, RT.05/RW.12, Mulyaharja, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16132, Indonesia",The Jungle Water Adventure
Kebun Wisata Ilmiah,https://www.google.com/maps/place/Kebun+Wisata+Ilmiah/data=!4m7!3m6!1s0x2e69c4494ebbe7bd:0x779b9b6ce8e7002c!8m2!3d-6.5812067!4d106.7874463!16s%2Fg%2F1hm2n_qsj!19sChIJvee7TknEaS4RLADn6Gybm3c?authuser=0&hl=id&rclk=1,"4,60",Bogor,Alam,0,"Jl. Tentara Pelajar No.1, RT.04/RW.01, Ciwaringin, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16111, Indonesia",Scientific Tourism Garden
ECOART PARK Sentul City,https://www.google.com/maps/place/ECOART+PARK+Sentul+City/data=!4m7!3m6!1s0x2e69c6ebc0f289c5:0xf894747033caad39!8m2!3d-6.5687222!4d106.8457512!16s%2Fg%2F11b6x9_n9z!19sChIJxYnywOvGaS4ROa3KM3B0lPg?authuser=0&hl=id&rclk=1,"4,40",Bogor,Alam,0,"CRJW+G86, Cipambuan, Babakan Madang, Bogor Regency, West Java 16810, Indonesia",Ecoart Park Sentul City
Danau Gunting Kebun Raya Bogor,https://www.google.com/maps/place/Danau+Gunting+Kebun+Raya+Bogor/data=!4m7!3m6!1s0x2e69c5c5af91b491:0x3921fb1f0d6678b5!8m2!3d-6.6003367!4d106.7978054!16s%2Fg%2F11byxfnq10!19sChIJkbSRr8XFaS4RtXhmDR_7ITk?authuser=0&hl=id&rclk=1,"4,60",Bogor,Alam,0,"9QXX+V47, Kebun Raya Bogor Bogor Tengah, RT.04/RW.02, Paledang, Bogor Tengah, Bogor City, West Java 16122, Indonesia",Danau Gunting Kebun Raya Bogor
Kampoeng Air Katulampa,https://www.google.com/maps/place/Kampoeng+Air+Katulampa/data=!4m7!3m6!1s0x2e69c5d6ffffe90d:0x2b7cb917ddeaede4!8m2!3d-6.6332264!4d106.8349885!16s%2Fg%2F1ptwflq7h!19sChIJDen__9bFaS4R5O3q3Re5fCs?authuser=0&hl=id&rclk=1,"4,30",Bogor,Alam,20000,"Jalan Bendung, Jl. Katulampa Raya No.45, RT.04/RW.19, Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16144, Indonesia",Kampoeng Air Katulampa
Lawang Suryakencana,https://www.google.com/maps/place/Lawang+Suryakencana/data=!4m7!3m6!1s0x2e69c5c148c983e1:0x7756376207fe4a0f!8m2!3d-6.6032729!4d106.7989098!16s%2Fg%2F11ggsg9sxh!19sChIJ4YPJSMHFaS4RD0r-B2I3Vnc?authuser=0&hl=id&rclk=1,"4,60",Bogor,Alam,0,"9QWX+MHV, Suryakencana St, RT.01/RW.01, Gudang, Bogor Tengah, Bogor City, West Java 16123, Indonesia",Lawang Suryakencana
Taman Kaulinan,https://www.google.com/maps/place/Taman+Kaulinan/data=!4m7!3m6!1s0x2e69c5cc0032dd3f:0xc0cf32c67d70a8ea!8m2!3d-6.5921584!4d106.8003088!16s%2Fg%2F11c32m2qvh!19sChIJP90yAMzFaS4R6qhwfcYyz8A?authuser=0&hl=id&rclk=1,"4,60",Bogor,"Anak, Wahana",0,"Jl. Sempur No.1, RT.01/RW.01, Sempur, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16129, Indonesia",Kaulinan Park Bogor
Taman Kencana,https://www.google.com/maps/place/Taman+Kencana/data=!4m7!3m6!1s0x2e69c5cceda8f1b7:0x7d403349dcdbdc93!8m2!3d-6.5887896!4d106.8018857!16s%2Fg%2F11h0s9s1r!19sChIJt_Go7czFaS4Rk9zb3EkzQH0?authuser=0&hl=id&rclk=1,"4,50",Bogor,Taman,0,"Taman Kencana, 56100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Taman Kencana
Taman Meksiko,https://www.google.com/maps/place/Taman+Meksiko/data=!4m7!3m6!1s0x2e69c5c400d57233:0x1355d0edbbce6616!8m2!3d-6.6022434!4d106.8003444!16s%2Fg%2F1pzt8hvhy!19sChIJM3LVAMTFaS4RFmbOu-3QVRM?authuser=0&hl=id&rclk=1,"4,60",Bogor,Taman,0,"Jl. Otto Iskandardinata No.13, RT.04/RW.02, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16136, Indonesia",Mexico Garden
Sumber Karya Indah - SKI Bogor,https://www.google.com/maps/place/Sumber+Karya+Indah+-+SKI+Bogor/data=!4m7!3m6!1s0x2e69c8a7cbce7c0b:0x76b9cd3f29564509!8m2!3d-6.6217646!4d106.8214054!16s%2Fg%2F1pzqkpmdz!19sChIJC3zOy6fIaS4RCUVWKT_NuXY?authuser=0&hl=id&rclk=1,"4,30",Bogor,Alam,20000,"Jl. Katulampa Raya No.6, RT.06/RW.01, Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16144, Indonesia",Sumber Karya Indah - SKI Bogor
Cibalung Happy Land,https://www.google.com/maps/place/Cibalung+Happy+Land/data=!4m7!3m6!1s0x2e69c5f91a892d81:0x63305eba169d93b2!8m2!3d-6.6904785!4d106.8083937!16s%2Fg%2F1hm2h_629!19sChIJgS2JGvnFaS4RspOdFrpeMGM?authuser=0&hl=id&rclk=1,"4,30",Bogor,"Air, Wahana, Anak",40000,"Jalan Manunggal VII, RT.01/RW.02, Cibalung, Cijeruk, Bogor Regency, West Java 16740, Indonesia",Cibalung Happy Land
Kampoeng Wisata Cinangneng,https://www.google.com/maps/place/Kampoeng+Wisata+Cinangneng/data=!4m7!3m6!1s0x2e69db4626284d49:0x4490d49b0f325087!8m2!3d-6.5659313!4d106.7114553!16s%2Fg%2F11h0t6fcv!19sChIJSU0oJkbbaS4Rh1AyD5vUkEQ?authuser=0&hl=id&rclk=1,"4,40",Bogor,Alam,160000,"CPM6+JHG, Jl. Babakan Kemang, RT.1/RW.2, Cihideung Udik, Kec. Ciampea, Kabupaten Bogor, Jawa Barat 16620, Indonesia",Kampoeng Wisata Cinangneng
Taman Heulang,https://www.google.com/maps/place/Taman+Heulang/data=!4m7!3m6!1s0x2e69c43c4d9f6e9f:0x7494ee2a6fb643fa!8m2!3d-6.5697211!4d106.8022947!16s%2Fg%2F11ckkwkxs6!19sChIJn26fTTzEaS4R-kO2byrulHQ?authuser=0&hl=id&rclk=1,"4,60",Bogor,Alam,0,"CRJ2+4W7, Jl. Heulang, RT.06/RW.04, Tanah Sareal, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16161, Indonesia",Taman Heulang
Prasasti Batu Tulis,https://www.google.com/maps/place/Prasasti+Batu+Tulis/data=!4m7!3m6!1s0x2e69c80b1e4ec2f1:0x494fbc07f23d1437!8m2!3d-6.6236589!4d106.8089952!16s%2Fm%2F0cp08st!19sChIJ8cJOHgvIaS4RNxQ98ge8T0k?authuser=0&hl=id&rclk=1,"4,60",Bogor,Sejarah,5000,"Jl. Batu Tulis No.54, RT.02/RW.02, Batutulis, Kec. Bogor Sel., Kota Bogor, Jawa Barat 16133, Indonesia",Prasasti Batu Tulis
Tugu Kujang Bogor,https://www.google.com/maps/place/Tugu+Kujang+Bogor/data=!4m7!3m6!1s0x2e69c5e100000001:0x1460e0034eb2eafc!8m2!3d-6.6014417!4d106.8050738!16s%2Fg%2F11bw1h8hqd!19sChIJAQAAAOHFaS4R_OqyTgPgYBQ?authuser=0&hl=id&rclk=1,"4,70",Bogor,Sejarah,10000,"Jalan Raya Pajajaran No.1A, Baranangsiang, Bogor Timur, RT.04/RW.02, Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16143, Indonesia",Kujang Monument
Air Terjun Curug Nangka,https://www.google.com/maps/place/Air+Terjun+Curug+Nangka/data=!4m7!3m6!1s0x2e69cfd5ab533c53:0xf6427641a4bf1129!8m2!3d-6.6690656!4d106.7264075!16s%2Fg%2F122cz8vh!19sChIJUzxTq9XPaS4RKRG_pEF2QvY?authuser=0&hl=id&rclk=1,"4,30",Bogor,Alam,22000,"8PMG+RX6, Sukajadi, Tamansari, Bogor Regency, West Java 16370, Indonesia",Nangka Waterfall
Akuatik Park,https://www.google.com/maps/place/Akuatik+Park/data=!4m7!3m6!1s0x2e69c566a828db55:0x2ee2949c0fb73222!8m2!3d-6.6007929!4d106.800734!16s%2Fg%2F11gjtxml27!19sChIJVdsoqGbFaS4RIjK3D5yU4i4?authuser=0&hl=id&rclk=1,"4,60",Bogor,"Air, Wahana, Anak",150000,"9RX2+M7Q, RT.04/RW.02, Paledang, Bogor Tengah, Bogor City, West Java 16122, Indonesia",Akuatik Park
